control,0,10,20,30,40,50,60,70,80,90,100,110,120,130,140,150,160
100,41.7,45.97,75.02,86.59,92.26,94.9,95.82,96.13,96.24,96.27,96.28,96.29,96.29,96.29,96.29,96.29,96.29
0,95.83,54.03,24.98,13.41,7.74,5.1,4.18,3.87,3.76,3.73,3.72,3.71,3.71,3.71,3.71,3.71,3.71
61.66,2.6,28.58,46.66,53.86,57.38,59.02,59.59,59.79,59.86,59.88,59.88,59.88,59.88,59.88,59.88,59.88,59.88
99,68.21,68.6,68.69,68.66,68.55,68.54,68.53,68.53,68.53,68.53,68.53,68.53,68.53,68.53,68.53,68.53,68.53
0,0,38497,2123921,3532580,4313859,4780578,4985252,5062397,5092509,5102791,5105920,5106979,5107226,5107301,5107322,5107326,5107326
323,0,0,0,0,0,127,180,233,255,269,272,273,274,274,274,274,274
429,0,0,0,0,0,163,247,313,361,372,385,385,387,388,388,388,388
